provider,transcript,wer,semantic_wer,entity_accuracy,latency,success,error
deepgram,Hello there. I was hoping you could help me out with a couple of I have about your services. I've been trying to reach someone all morning.,0.034482758620689655,0.034482758620689655,"{""total"": 0, ""matched"": 0, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1253.7474999990081, ""final_ms"": 0, ""total_ms"": 12409.709400002612}",True,
deepgram,This is actually my first time bringing my vehicle to Sui A friend of mine recommended you guys because he said the service was fantastic.,0.07692307692307693,0.07692307692307693,"{""total"": 0, ""matched"": 0, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1244.5243999973172, ""final_ms"": 0, ""total_ms"": 13010.13729999977}",True,
deepgram,I don't have an account with you guys yet. So I think we might need to set one up from scratch. I just bought the car used from a private seller last week.,0.0,0.0,"{""total"": 0, ""matched"": 0, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1231.6228999989107, ""final_ms"": 0, ""total_ms"": 15113.707199998316}",True,
deepgram,Sure. My name is Sarah Connor. That's Sarah with an h. And Connor is c o n n o r. I should be in your system from about three years ago.,0.0,0.0,"{""total"": 1, ""matched"": 1, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1247.7044999977807, ""final_ms"": 0, ""total_ms"": 16320.835499998793}",True,
deepgram,I'm calling about my account. But it's actually under my husband's name. It's under Michael Scott. And the phone number on file should be his cell.,0.0,0.0,"{""total"": 1, ""matched"": 1, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1138.7622999973246, ""final_ms"": 0, ""total_ms"": 13913.99889999957}",True,
deepgram,"Actually, I recently moved across the state. So my preferred location is Dallas now. Instead of Austin. Could you go ahead and update that on my profile?",0.0,0.0,"{""total"": 1, ""matched"": 1, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1206.540600000153, ""final_ms"": 0, ""total_ms"": 15916.198599999916}",True,
deepgram,I really need to schedule a synthetic oil change and a tire rotation for my twenty twenty two Lexus RX. It just hit thirty thousand miles yesterday.,0.0,0.0,"{""total"": 4, ""matched"": 4, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 2277.52590000091, ""final_ms"": 0, ""total_ms"": 16024.629800002003}",True,
deepgram,"I'd like to book some routine maintenance for my Ford. It's been making this really weird squeaking noise. Every time I apply the brakes, going downhill.",0.0,0.0,"{""total"": 2, ""matched"": 2, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1164.2480999980762, ""final_ms"": 0, ""total_ms"": 14522.856299998239}",True,
deepgram,"The vehicle in question is a twenty diesel model. It's an F two fifty Super Duty, and it takes about thirteen quarts of oil.",0.041666666666666664,0.041666666666666664,"{""total"": 1, ""matched"": 0, ""score"": 0.0, ""missing"": [""two thousand sixteen""]}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1276.7748000005668, ""final_ms"": 0, ""total_ms"": 12710.697500002425}",True,
deepgram,"I was thinking I'll bring it in this Friday. At ten AM. If that time is completely booked up, I can probably do Thursday afternoon around three instead.",0.0,0.0,"{""total"": 1, ""matched"": 0, ""score"": 0.0, ""missing"": [""this Friday at ten AM""]}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1252.3679999976594, ""final_ms"": 0, ""total_ms"": 17122.172300001694}",True,
deepgram,Yes. I will definitely need a loaner vehicle. My wife took our other car out of town for the weekend. So I have absolutely no other way to get to the office.,0.0,0.0,"{""total"": 1, ""matched"": 1, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1188.2633000022906, ""final_ms"": 0, ""total_ms"": 15319.267700000637}",True,
deepgram,"Actually, if it's only going to take an hour or two, I'll just wait at the dealership. I brought my laptop so I can just catch up on some emails in the lounge.",0.0,0.0,"{""total"": 1, ""matched"": 1, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1208.777600000758, ""final_ms"": 0, ""total_ms"": 15424.137500001962}",True,
deepgram,Something just came up at work. So can we change my appointment to two PM? My morning meeting got pushed back. And now I have a massive conflict.,0.0,0.0,"{""total"": 1, ""matched"": 1, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1185.7959000008123, ""final_ms"": 0, ""total_ms"": 13814.145700001973}",True,
deepgram,"I'm going to have to push my service back to next Tuesday. My kids got sick, and I can't leave the house today. Does next Tuesday morning work for you guys?",0.0,0.0,"{""total"": 1, ""matched"": 1, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1304.2510000013863, ""final_ms"": 0, ""total_ms"": 14520.370700000058}",True,
deepgram,Do you guys happen to have a collision center on-site? I was rear ended at a stoplight yesterday. And the bumper is completely dented in.,0.0,0.0,"{""total"": 0, ""matched"": 0, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1319.5133000008354, ""final_ms"": 0, ""total_ms"": 13216.98970000216}",True,
deepgram,I was looking online. And couldn't find the answer to this. But what exactly is your policy on parts warranties? Do they cover labor costs if the part fails prematurely?,0.0,0.0,"{""total"": 0, ""matched"": 0, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1279.742200000328, ""final_ms"": 0, ""total_ms"": 16217.30679999746}",True,
deepgram,Can you tell me a little bit more about the Sewl difference? I hear the commercials on the radio all the time but I'm not really sure what makes it so special.,0.030303030303030304,0.030303030303030304,"{""total"": 0, ""matched"": 0, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1325.4342000000179, ""final_ms"": 0, ""total_ms"": 15015.166100001807}",True,
deepgram,"Where exactly are you guys located? I know you have a few different branches around the city, but I'm looking for the one closest to the downtown area.",0.0,0.0,"{""total"": 0, ""matched"": 0, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1259.6849000001384, ""final_ms"": 0, ""total_ms"": 13624.332300001697}",True,
deepgram,Listen. I've been talking to this robot for five minutes. And I just wanna speak to a real person. Can you please transfer me to a human representative?,0.0,0.0,"{""total"": 0, ""matched"": 0, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1273.3555999984674, ""final_ms"": 0, ""total_ms"": 15131.404899999325}",True,
deepgram,No. I think that just about covers everything I needed to know. That's all for today. Thanks so much for all your help. I really appreciate it.,0.0,0.0,"{""total"": 0, ""matched"": 0, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1285.6087000000116, ""final_ms"": 0, ""total_ms"": 14627.707399999053}",True,
assemblyai,Hello there. I was hoping you could help me out with a couple of questions I have about your services. I've been trying to reach someone all morning.,0.0,0.0,"{""total"": 0, ""matched"": 0, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1184.6406000004208, ""final_ms"": 0, ""total_ms"": 12418.240299997706}",True,
